player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ramin Rezaeian,IR Iran,Iran,DF,36-092,1990,Foolad,1,1,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,90.0,100.0,90.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,11.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Rouzbeh Cheshmi,IR Iran,Iran,"DF,MF",32-332,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saeid Ezatolahi,IR Iran,Iran,MF,29-263,1996,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,1.0,0.0,0.0,90.0,100.0,90.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Saleh Hardani,IR Iran,Iran,DF,27-177,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,IR Iran,Iran,MF,32-288,1993,,1,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.81,0.0,0.0,,64.0,71.1,64.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Shahriar Moghanlou,IR Iran,Iran,FW,31-182,1994,,1,1,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.19,0.0,0.0,,52.0,57.8,52.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Shoja' Khalilzadeh,IR Iran,Iran,DF,37-038,1989,Tractor,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ahmed Basil,Iraq,Iraq,GK,29-306,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Maknzi,Iraq,Iraq,DF,24-270,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Qasem,Iraq,Iraq,"FW,MF",22-344,2003,Nashville SC,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,18.0,20.0,,0,1,18.0,0,0.0,0.0,2.0,-2.0,-10.0,-8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aimar Sher,Iraq,Iraq,MF,23-183,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akam Hashim,Iraq,Iraq,DF,27-309,1998,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,1.0,4.0,-3.0,-3.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Al Hamadi,Iraq,Iraq,FW,24-112,2002,Ipswich Town,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.66,0.0,0.0,,58.0,64.4,58.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.55,4.07,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Jasim,Iraq,Iraq,MF,22-152,2004,Al-Najma,1,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,72.0,80.0,72.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.25,8.75,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Yousif,Iraq,Iraq,FW,30-153,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Al Ammari,Iraq,Iraq,MF,28-329,1997,Cracovia,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,4.0,-3.0,-3.0,,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayman Hussein,Iraq,Iraq,FW,30-091,1996,,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,33.3,3.0,1.0,0.33,1.0,90.0,100.0,90.0,1,0,,0,0.0,1.0,4.0,-3.0,-3.0,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,
Fahad Talib,Iraq,Iraq,GK,31-243,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frans Dhia Putros,Iraq,Iraq,DF,32-342,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussein Ali,Iraq,Iraq,DF,24-112,2002,Pogoń Szczecin,1,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,,72.0,80.0,72.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.25,8.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ibrahim Bayesh,Iraq,Iraq,MF,26-051,2000,,1,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.17,0.0,0.0,,77.0,85.6,77.0,0,0,,0,0.0,1.0,3.0,-2.0,-2.34,4.59,0.0,0.0,2.0,0.0,4.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jalal Hassan,Iraq,Iraq,GK,35-034,1991,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,4.0,-3.0,-3.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,4.0,4.0,6.0,2.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kevin Yakob,Iraq,Iraq,MF,25-254,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manaf Younis,Iraq,Iraq,DF,29-217,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Farji,Iraq,Iraq,MF,22-097,2004,Venezia,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,32.0,35.6,,0,1,32.0,0,0.0,0.0,2.0,-2.0,-5.63,-4.07,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Merchas Doski,Iraq,Iraq,DF,26-196,1999,Viktoria Plzeň,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,4.0,-3.0,-3.0,,0.0,0.0,4.0,0.0,3.0,1.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohanad Ali,Iraq,Iraq,FW,26-001,2000,,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.0,14.4,,0,1,13.0,0,0.0,0.0,1.0,-1.0,-6.92,-4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mustafa Saadoon,Iraq,Iraq,DF,25-027,2001,,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,18.0,20.0,,0,1,18.0,0,0.0,0.0,2.0,-2.0,-10.0,-8.75,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Rebin Sulaka,Iraq,Iraq,DF,34-070,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Amyn,Iraq,Iraq,MF,22-304,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaid Ismail,Iraq,Iraq,MF,24-169,2002,,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,58.0,64.4,58.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.55,4.07,0.0,2.0,0.0,0.0,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Zaid Tahseen,Iraq,Iraq,DF,25-143,2001,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,1.0,4.0,-3.0,-3.0,,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Zidane Iqbal,Iraq,Iraq,MF,23-055,2003,Utrecht,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,32.0,35.6,,0,1,32.0,0,0.0,0.0,2.0,-2.0,-5.63,-4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ao Tanaka,Japan,Japan,MF,27-284,1998,Leeds United,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,50.0,90.0,1,0,,1,3.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayase Ueda,Japan,Japan,FW,27-284,1998,Feyenoord,2,2,166.0,1.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.08,0.54,1.63,1.08,1.63,6.0,3.0,50.0,3.25,1.63,0.33,0.67,83.0,92.2,83.0,0,0,,0,2.0,5.0,2.0,3.0,1.63,-4.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayumu Seko,Japan,Japan,"DF,MF",26-014,2000,Le Havre,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,12.0,6.7,,0,1,12.0,1,3.0,1.0,0.0,1.0,7.5,5.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Daichi Kamada,Japan,Japan,MF,29-320,1996,Crystal Palace,2,2,162.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,1.11,1.11,2.0,2.0,100.0,1.11,1.11,1.0,1.0,81.0,90.0,81.0,1,0,,0,2.0,5.0,2.0,3.0,1.67,-3.33,0.0,0.0,1.0,0.0,2.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Daizen Maeda,Japan,Japan,MF,28-244,1997,Celtic,1,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,65.0,36.1,65.0,0,0,,1,1.0,1.0,2.0,-1.0,-1.38,-5.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hiroki Ito,Japan,Japan,DF,27-040,1999,Bayern Munich,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,2.0,6.0,2.0,4.0,2.0,,0.0,4.0,0.0,0.0,4.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Junnosuke Suzuki,Japan,Japan,DF,22-344,2003,FC Copenhagen,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,18.0,10.0,,0,1,18.0,1,3.0,1.0,0.0,1.0,5.0,3.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Junya Itō,Japan,Japan,MF,33-104,1993,Genk,2,1,115.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.78,2.0,1.0,50.0,1.57,0.78,0.5,1.0,58.0,63.9,90.0,1,1,25.0,0,2.0,5.0,0.0,5.0,3.91,5.3,0.0,2.0,2.0,0.0,13.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Kaishū Sano,Japan,Japan,MF,25-173,2000,Mainz 05,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,2.0,6.0,2.0,4.0,2.0,,0.0,2.0,1.0,0.0,1.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Keisuke Gotō,Japan,Japan,FW,21-018,2005,Sint-Truiden,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,3.9,,0,1,7.0,1,3.0,0.0,0.0,0.0,0.0,-2.08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Keisuke Ōsako,Japan,Japan,GK,26-328,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keito Nakamura,Japan,Japan,MF,25-328,2000,Reims,2,2,168.0,1.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.54,0.54,1.07,0.54,1.07,4.0,1.0,25.0,2.14,0.54,0.25,1.0,84.0,93.3,84.0,1,0,,0,2.0,5.0,2.0,3.0,1.61,-5.89,0.0,3.0,1.0,1.0,5.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Kento Shiogai,Japan,Japan,FW,21-087,2005,Wolfsburg,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,3.9,,0,1,7.0,1,1.0,1.0,0.0,1.0,12.86,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ko Itakura,Japan,Japan,DF,29-145,1997,Ajax,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,90.0,50.0,90.0,1,0,,1,3.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Kōki Ogawa,Japan,Japan,FW,28-317,1997,NEC Nijmegen,1,0,16.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,5.63,0.0,5.63,2.0,0.0,0.0,11.25,0.0,0.0,,16.0,8.9,,0,1,16.0,1,1.0,1.0,0.0,1.0,5.63,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ritsu Doan,Japan,Japan,MF,28-005,1998,Frankfurt,2,2,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,74.0,81.7,74.0,0,0,,0,2.0,4.0,2.0,2.0,1.22,-4.23,0.0,1.0,2.0,0.0,3.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Shogo Taniguchi,Japan,Japan,DF,34-341,1991,Sint-Truiden,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,50.0,90.0,1,0,,1,1.0,2.0,2.0,0.0,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Shuto Machino,Japan,Japan,FW,26-264,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takefusa Kubo,Japan,Japan,MF,25-017,2001,Real Sociedad,1,1,74.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,0.0,1.22,1.0,0.0,0.0,1.22,0.0,0.0,,74.0,41.1,74.0,0,0,,0,1.0,1.0,2.0,-1.0,-1.22,-5.46,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Takehiro Tomiyasu,Japan,Japan,DF,27-228,1998,Ajax,2,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96,0.0,0.0,,47.0,52.2,78.0,0,1,16.0,0,2.0,4.0,0.0,4.0,3.83,3.83,0.0,4.0,1.0,0.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Tomoki Hayakawa,Japan,Japan,GK,27-110,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsuyoshi Watanabe,Japan,Japan,DF,29-136,1997,Feyenoord,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,74.0,41.1,74.0,0,0,,1,1.0,1.0,2.0,-1.0,-1.22,-5.46,0.0,0.0,1.0,0.0,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Yuito Suzuki,Japan,Japan,"FW,MF",24-239,2001,Freiburg,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,12.0,6.7,,0,1,12.0,1,3.0,1.0,0.0,1.0,7.5,5.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Yukinari Sugawara,Japan,Japan,"DF,FW",25-358,2000,Werder Bremen,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.73,2.73,0.0,0.0,17.0,18.3,,0,2,17.0,0,2.0,2.0,0.0,2.0,5.45,4.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Yūto Nagatomo,Japan,Japan,"DF,MF",39-282,1986,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zion Suzuki,Japan,Japan,GK,23-304,2002,Parma,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,2.0,6.0,2.0,4.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,2.0,1.0,6.0,4.0,66.7,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
Abdallah Al-Fakhouri,Jordan,Jordan,GK,26-150,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdallah Nasib,Jordan,Jordan,DF,32-116,1994,,1,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,80.0,88.9,80.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.13,7.88,0.0,1.0,1.0,0.0,0.0,5.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Azaizeh,Jordan,Jordan,MF,22-069,2004,Al-Shabab,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,,2.0,2.2,,0,1,2.0,0,0.0,0.0,1.0,-1.0,-45.0,-43.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Olwan,Jordan,Jordan,MF,26-087,2000,,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,50.0,4.0,2.0,0.25,0.5,90.0,100.0,90.0,1,0,,0,0.0,1.0,3.0,-2.0,-2.0,,0.0,0.0,2.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Amer Jamous,Jordan,Jordan,MF,23-353,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anas Badawi,Jordan,Jordan,DF,28-281,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husam Abu Dahab,Jordan,Jordan,DF,26-039,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Sadeh,Jordan,Jordan,MF,26-055,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihsan Haddad,Jordan,Jordan,DF,32-136,1994,,1,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.13,0.0,0.0,,80.0,88.9,80.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.13,7.88,0.0,0.0,1.0,0.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mahmoud Al-Mardi,Jordan,Jordan,"FW,MF",32-258,1993,,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,11.1,,0,1,10.0,0,0.0,0.0,1.0,-1.0,-9.0,-7.88,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Mo Abualnadi,Jordan,Jordan,DF,25-133,2001,,1,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,71.0,78.9,71.0,0,0,,0,0.0,1.0,1.0,0.0,0.0,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohammad Abu Hasheesh,Jordan,Jordan,DF,31-043,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Al-Dawud,Jordan,Jordan,"FW,MF",34-070,1992,,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0,3.3,,0,1,3.0,0,0.0,0.0,1.0,-1.0,-30.0,-28.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohammad Taha,Jordan,Jordan,MF,20-343,2005,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohannad Abu Taha,Jordan,Jordan,DF,23-139,2003,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,3.0,-2.0,-2.0,,0.0,1.0,1.0,0.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
